id,source,truth,category,primary_key,input_text
US-L-001,US-L,genuine,genuine,44-3501,44 U.S.C. § 3501 (Purposes).
US-L-002,US-L,genuine,genuine,17-102,See 17 U.S.C. § 102 (2018) — Subject matter of copyright: In general.
US-L-003,US-L,genuine,genuine,42-1983,See 42 U.S.C. § 1983 (2018).
US-L-004,US-L,genuine,genuine,15-1,See generally 15 U.S.C. § 1 (West 2022) (providing the statutory basis).
US-L-005,US-L,genuine,genuine,28-2255,See 28 U.S.C. §2255.
US-L-006,US-L,genuine,genuine,42-12101,See 42 U.S.C. § 12101 (2018).
US-L-007,US-L,genuine,genuine,05-552,"See 5 U.S.C. § 552 (West 2022) — Public information; agency rules, opinions, orders, records, and proceedings."
US-L-008,US-L,genuine,genuine,29-151,See 29 U.S.C. §151.
US-L-009,US-L,genuine,genuine,28-1291,See 28 U.S.C. § 1291 (2018) — Final decisions of district courts.
US-L-010,US-L,genuine,genuine,29-621,"Section 621 of 29 U.S.C., 29 U.S.C. § 621 (West 2022)."
US-L-011,US-L,genuine,genuine,42-2000d,"See 42 U.S.C. §2000d — Prohibition against exclusion from participation in, denial of benefits of, and discrimination under federally assisted programs on ground of race, color, or national origin."
US-L-012,US-L,genuine,genuine,28-1332,"Under 28 U.S.C. §1332, “Diversity of citizenship; amount in controversy; costs,” a plaintiff may seek redress."
US-L-013,US-L,genuine,genuine,18-922,18 U.S.C. §922 (Unlawful acts).
US-L-014,US-L,genuine,genuine,20-1681,"Section 1681 of 20 U.S.C., 20 U.S.C. § 1681."
US-L-015,US-L,genuine,genuine,20-1232g,"Section 1232g of 20 U.S.C., 20 U.S.C. §1232g."
US-L-016,US-L,genuine,genuine,47-151,See 47 U.S.C. § 151 (2018) — Purposes of chapter; Federal Communications Commission created.
US-L-017,US-L,genuine,genuine,18-1344,See 18 U.S.C. §1344.
US-L-018,US-L,genuine,genuine,35-101,35 U.S.C. § 101 (2018) (Inventions patentable).
US-L-019,US-L,genuine,genuine,18-956,See generally 18 U.S.C. § 956 (providing the statutory basis).
US-L-020,US-L,genuine,genuine,07-7755,See 7 U.S.C. §7755.
US-L-021,US-L,genuine,genuine,46-50309,"Section 50309 of 46 U.S.C., 46 U.S.C. § 50309 (2018)."
US-L-022,US-L,genuine,genuine,10-4102,See 10 U.S.C. § 4102 (2018).
US-L-023,US-L,genuine,genuine,42-288b,"Section 288b of 42 U.S.C., 42 U.S.C. § 288b (2018)."
US-L-024,US-L,genuine,genuine,40-3705,40 U.S.C. §3705 (Safety programs).
